lang,severity,f1,em
de,Major,1.0,True
de,Minor,1.0,True
de,Major,0.8888888888888888,False
de,Minor,1.0,True
de,Minor,1.0,True
de,Neutral,0.6486486486486486,False
de,Neutral,1.0,True
de,Neutral,0.8333333333333334,False
de,Neutral,0.08695652173913045,False
de,Neutral,0.45000000000000007,False
de,Neutral,0.7222222222222223,False
de,Neutral,0.7142857142857143,False
de,Neutral,0.888888888888889,False
de,Minor,0.9019607843137256,False
de,Major,0.761904761904762,False
de,Minor,1.0,True
de,Neutral,1.0,True
de,Minor,1.0,True
de,Major,1.0,True
de,Minor,1.0,True
de,Major,0.8888888888888888,False
de,Major,0.5,False
de,Minor,0.875,False
de,Minor,0.6451612903225806,False
de,Minor,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,0.7272727272727272,False
de,Neutral,1.0,True
de,Minor,0.88,False
de,Major,0.3461538461538462,False
de,Major,1.0,True
de,Neutral,0.7346938775510204,False
de,Minor,0.7777777777777778,False
de,Minor,0.30985915492957744,False
de,Major,0.9333333333333333,False
de,Major,1.0,True
de,Minor,0.888888888888889,False
de,Neutral,0.8333333333333334,False
de,Neutral,0.8125,False
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,0.7272727272727273,False
de,Neutral,0.35294117647058826,False
de,Neutral,0.8095238095238095,False
de,Major,1.0,True
de,Neutral,0.7826086956521738,False
de,Neutral,0.8125,False
de,Neutral,0.7586206896551724,False
de,Major,0.6333333333333332,False
de,Major,0.967741935483871,False
de,Minor,0.8823529411764706,False
de,Minor,1.0,True
de,Minor,0.0,False
de,Major,0.625,False
de,Major,1.0,True
de,Major,1.0,True
de,Major,1.0,True
de,Major,0.75,False
de,Major,1.0,True
de,Major,0.7692307692307692,False
de,Major,0.0,False
de,Major,0.0,False
de,Major,1.0,True
de,Minor,1.0,True
de,Minor,0.2857142857142857,False
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,0.7058823529411764,False
de,Neutral,0.15686274509803924,False
de,Major,1.0,True
de,Major,0.4,False
de,Minor,1.0,True
de,Major,0.3333333333333333,False
de,Major,0.8000000000000002,False
de,Minor,0.6666666666666665,False
de,Major,0.5945945945945946,False
de,Minor,0.7878787878787877,False
de,Major,0.8888888888888888,False
de,Minor,0.8148148148148148,False
de,Major,1.0,True
de,Major,0.6666666666666665,False
de,Major,0.13333333333333333,False
de,Minor,0.25,False
de,Minor,1.0,True
de,Neutral,1.0,True
de,Minor,0.8333333333333334,False
de,Major,0.5,False
de,Major,0.15384615384615385,False
de,Major,0.6666666666666667,False
de,Major,1.0,True
de,Major,1.0,True
de,Minor,0.7142857142857143,False
de,Major,0.7999999999999999,False
de,Major,0.19354838709677416,False
de,Major,0.7142857142857143,False
de,Minor,0.7142857142857143,False
de,Neutral,1.0,True
de,Minor,1.0,True
de,Minor,0.6666666666666666,False
de,Major,0.7,False
de,Minor,0.7142857142857143,False
de,Minor,0.37037037037037035,False
de,Minor,0.8000000000000002,False
de,Major,1.0,True
de,Major,0.6363636363636364,False
de,Minor,0.7,False
de,Major,0.39130434782608686,False
de,Minor,0.7142857142857143,False
de,Major,1.0,True
de,Minor,0.37037037037037035,False
de,Minor,0.37037037037037035,False
de,Minor,0.8000000000000002,False
de,Major,0.7777777777777778,False
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,1.0,True
de,Neutral,0.22222222222222224,False
de,Minor,1.0,True
de,Minor,1.0,True
de,Minor,0.875,False
de,Minor,0.8333333333333334,False
de,Minor,0.5161290322580646,False
de,Minor,0.8484848484848485,False
de,Minor,0.8181818181818182,False
de,Minor,0.5333333333333333,False
de,Minor,1.0,True
de,Minor,0.6923076923076924,False
de,Minor,1.0,True
de,Minor,0.509090909090909,False
de,Minor,1.0,True
