lang,severity,sbert_sim
de,Major,0.939001202583313
de,Minor,1.0000001192092896
de,Minor,1.0000001192092896
de,Neutral,0.9995250105857849
de,Neutral,1.0
de,Neutral,0.9705859422683716
de,Neutral,0.9016644954681396
de,Neutral,1.0000001192092896
de,Neutral,0.8810421228408813
de,Neutral,0.774431049823761
de,Neutral,0.9734539985656738
de,Minor,0.9537850022315979
de,Major,0.9362353086471558
de,Minor,1.0
de,Neutral,1.0
de,Minor,1.0
de,Major,1.0
de,Minor,1.0
de,Major,1.0000001192092896
de,Major,1.0
de,Minor,0.9999999403953552
de,Minor,1.0
de,Minor,1.0000001192092896
de,Neutral,1.000000238418579
de,Neutral,0.7931239604949951
de,Neutral,1.0
de,Neutral,0.9999999403953552
de,Neutral,1.0
de,Minor,0.9979108572006226
de,Major,0.9730331897735596
de,Major,0.677992582321167
de,Neutral,0.9185274243354797
de,Minor,1.0
de,Minor,0.8959879875183105
de,Major,1.0
de,Major,1.0000001192092896
de,Minor,0.9689172506332397
de,Neutral,1.0
de,Neutral,0.9247649908065796
de,Neutral,1.0
de,Neutral,0.9805866479873657
de,Neutral,1.0
de,Neutral,0.962877631187439
de,Neutral,0.2785363793373108
de,Neutral,0.5650092959403992
de,Major,1.0
de,Neutral,1.0000001192092896
de,Neutral,0.9014992117881775
de,Neutral,0.3703165650367737
de,Major,0.8970730304718018
de,Major,0.9066789746284485
de,Minor,1.0
de,Minor,1.0000001192092896
de,Minor,0.07862718403339386
de,Major,0.012784643098711967
de,Major,1.0
de,Major,1.0
de,Major,1.0
de,Major,0.9212623834609985
de,Major,0.9999998807907104
de,Major,0.8131939172744751
de,Major,0.07862718403339386
de,Major,1.0
de,Major,1.000000238418579
de,Minor,1.0000001192092896
de,Minor,0.8705673217773438
de,Neutral,1.0000001192092896
de,Neutral,1.0000001192092896
de,Neutral,1.0000001192092896
de,Neutral,1.0
de,Neutral,1.0
de,Neutral,1.0000001192092896
de,Neutral,1.0
de,Neutral,1.0
de,Major,0.7983944416046143
de,Major,0.9839006662368774
de,Minor,1.0
de,Major,0.7114884853363037
de,Major,0.9704046249389648
de,Minor,0.9654927849769592
de,Major,0.9437265396118164
de,Minor,0.9784144163131714
de,Major,0.309207558631897
de,Minor,0.22905686497688293
de,Major,1.0000001192092896
de,Major,0.9777289032936096
de,Major,0.9057310819625854
de,Minor,1.0
de,Minor,1.0
de,Neutral,1.0
de,Minor,0.952398419380188
de,Major,1.0
de,Major,0.996613621711731
de,Major,0.1358533799648285
de,Major,1.0
de,Major,1.0
de,Minor,0.30787092447280884
de,Major,1.0
de,Major,1.0
de,Major,0.5423955321311951
de,Minor,0.30787092447280884
de,Neutral,1.0
de,Minor,1.0
de,Minor,1.0000001192092896
de,Major,1.0000001192092896
de,Minor,0.30787092447280884
de,Minor,1.0
de,Minor,1.0
de,Major,1.0
de,Major,0.9747161269187927
de,Minor,1.0
de,Major,1.0
de,Minor,0.30787092447280884
