lang,src,severity,overall_f1,overall_em,entity_scores
de,Three cases of cervicofacial NF are presented in this case report.,,0.6,0.3333333333333333,[]
de,Two of the three patients died within 48 h from systemic illness with septic organ failure; one patient was discharged after intensive care treatment and reconstruction of the tissue defects caused by debridement.,,0.7361111111111112,0.5,[]
de,Rapid progression and systemic illness are typical for the disease and complicate diagnosis.,,1.0,1.0,[]
de,"After diagnosing NF based on clinical symptoms, laboratory parameters, and CT, the patients were treated with systemic antibiotics and multiple extensive debridements.",,1.0,1.0,[]
de,"After diagnosing NF based on clinical symptoms, laboratory parameters, and CT, the patients were treated with systemic antibiotics and multiple extensive debridements.",,1.0,1.0,[]
de,"Necrotizing fasciitis (NF) is a life-threatening, usually bacterial, soft tissue infection that rarely affects the head and neck region.",,0.4,0.0,[]
de,Immediate surgical and antimicrobial therapy is required.,,1.0,1.0,[]
de,"All patients showed a rapidly progressing, painful swelling and redness in the cervicofacial region.",,0.5777777777777778,0.0,[]
de,"NF is a fast-developing soft tissue infection associated with high mortality and morbidity, and is often recognized too late.",,0.8571428571428571,0.0,[]
de,"Diagnosis is based on clinical signs such as progressive diffuse swelling, pain, erythema, and early systemic illness.",,0.0,0.0,[]
de,Laboratory parameters (Laboratory Risk Indicator for Necrotizing Fasciitis [LRINEC] score) and imaging via CT or MRT are helpful.,,1.0,1.0,[]
de,CT/MRT images can show soft tissue swelling with pathognomonic gas formation.,,0.3333333333333333,0.3333333333333333,[]
de,Intravenously administered immunoglobulins and hyperbaric pressure therapy should only be used as supplementary treatments.,,0.4839743589743589,0.0,[]
de,This study aimed to analyse the relationship between increase in revenue and resource expenditure in reconstructive microsurgery at a university hospital of maximum care with regard to the treatment of interdisciplinary patients.,,1.0,1.0,[]
de,"In 2018 and 2019, all cases of interdisciplinary cooperation were followed up at one location of a plastic surgery department of a university clinic.",,0.7222222222222222,0.3333333333333333,[]
de,"The interdisciplinary surgical cases were identified from the collective and evaluated prospectively with regard to inpatient treatment days, surgical resource expenditure and economic development (DRG before and after microsurgical reconstruction).",,1.0,1.0,[]
de,"In 2018 and 2019, a total of 68 free microsurgical flaps were performed in 64 interdisciplinary cases.",,1.0,1.0,[]
de,"Considering the contribution of plastic surgery to the economic development and the associated resource expenditure, there is a significant increase in all parameters (p < 0.0001).",,1.0,1.0,[]
de,"Thus, the Case Mix Index (CMI) rose by 20.2 %, inpatient treatment days by 79.1 %, the number of surgical interventions by 62.4 %, cumulative incision-suture time by 131.4 % and total surgeon hours by 75.4 %.  Reconstructive microsurgical procedures lead to a significant increase in revenue in interdisciplinary surgical cases.",,0.75,0.75,[]
de,"Moreover, these additional costs are not always adequately reflected in the revenue of the DRG.",,0.0,0.0,[]
de,"However, a significant increase in resource consumption is observed as well.",,0.9523809523809524,0.6666666666666666,[]
de,Advances in reconstructive microsurgery have led to significant improvements in the surgical care of complex interdisciplinary cases.,,1.0,1.0,[]
de,"At the same time, however, this also increases the resource expenditure of the plastic surgeon involved.",,0.0,0.0,[]
de,62 of these cases met the criteria for interdisciplinary surgical treatment.,,1.0,1.0,[]
de,This especially applies to DRGs with a high initial cost weight.,,1.0,1.0,[]
de,"To ensure modern, individual, patient-oriented and guideline-compliant patient care, there is, therefore, an urgent need to adapt the (G-)DRG system to the additional resource consumption.",,0.0,0.0,[]
de,"In addition, in the case of interdisciplinary surgical cases, a clear internal cost allocation must be carried out in accordance with the surgical resource expenditure.",,0.0,0.0,[]
de,"Staff outings of Emil Kraepelin's Royal Department of Psychiatry were known as ""catatonic walks"".",,1.0,1.0,[]
de,"Many of Kraepelin's collaborators were inspired by his ideas and driven by scientific enthusiasm which contributed to significant scientific advances, but also took them to very different ends from dental and bowel surgery to psychoanalysis and eventually evidence-based medicine; from racial hygiene and nationalism to the presidency of communist Romania.",,0.5833333333333334,0.3333333333333333,[]
de,"A remarkable number of important German and international visitors participated in 1906, Nicolas Achucarro, Henry Cotton, Eduard Flatau, Smith Ely Jelliffe, Gaetano Perusini, Edward Scripture, Maurycy Urstein and others.",,0.9777777777777779,0.6666666666666666,[]
de,"Mostly, explosions of e-cigarettes are attributed to its lithium-ion battery.",,1.0,1.0,[]
de,Due to increasing cases and missing guidelines we want to present three cases of our hospital and publish recommendations for the management of burn injuries caused by e-cigarette explosions.,,1.0,1.0,[]
de,"The age ranged from 24 to 64 years, the burned total body surface area (TBSA) from 3 % to 12.5 %. All three patients required skin grafting and the length of stay in hospital ranged from five to eleven days.",,1.0,1.0,[]
de,"The guidelines of the Advanced Trauma Life Support should be followed, signs of an inhalation trauma should be checked and litmus test should be performed prior to irrigation with aqueous solutions to prevent exothermic reactions with remaining metals.",,0.6666666666666666,0.6666666666666666,[]
de,The popularity of E-Cigarettes is increasing.,,1.0,1.0,[]
de,"Besides addiction and pulmonary health damage, reports of burn injuries from e-cigarette explosions are also increasing.",,0.25,0.25,[]
de,"Three cases of e-cigarette explosions which occurred between 2016 and 2019, are presented.",,1.0,1.0,[]
de,All three e-cigarette explosions occurred in the trouser pockets.,,0.5,0.5,[]
de,Two patients were male one patient was female.,,1.0,1.0,[]
de,"In the synopsis of recent literature, we recommend the following management of burns due to e-cigarette explosions.",,1.0,1.0,[]
de,If litmus test shows alkali pH wounds should be irrigated by mineral oil.,,0.5652173913043478,0.5,[]
de,The recommendations of the guideline are intended to serve as a supportive information and decision basis for the clinician in the treatment of adult patients with sepsis or septic shock.,,1.0,1.0,[]
de,The German Sepsis guideline is an interdisciplinary guideline (S3 classification).,,1.0,1.0,[]
de,"It is an evidence- and consensus-based instrument for the improvement and quality assurance of prevention, diagnosis, therapy and aftercare of sepsis.",,0.0,0.0,[]
de,"It summarizes appropriate, scientifically based and up-to-date procedures for diagnosis, therapy and follow-up.",,0.0,0.0,[]
de,"To investigate feasibility and outcome the novel and favorable option of an endoscopic ultrasonography(EUS)-guided antegrade or even retrograde gall stone extraction via a transhepatic route in patients (pats.) with no option for the usual gold standard, ERCP.",,0.5686274509803922,0.3333333333333333,[]
de,"From 2004 to 03/2020, overall 449 pats. underwent EUS-guided cholangiodrainage (n = 37 pats. with cholangiolithiasis).",,0.8,0.8,[]
de,"In 8 of these 37 pats., gall stone extraction was achieved using EUS-ERCP rendezvous technique (not included in the study since there was no surgically altered anatomy of the upper GI tract).",,0.8800000000000001,0.8,[]
de,"(45 %), there was a failure of previous attempts to reach the papilla of Vater or biliodigestive anastomosis using balloon-enteroscopy-guided ERCP.",,0.7923076923076923,0.5,[]
de,Stone extraction was performed in 26 individuals,,0.8888888888888888,0.6666666666666666,[]
de,"(90 %) by means of antegrade push-technique after balloon dilatation of the papilla of Vater and biliodigestive anastomosis, respectively, before.",,0.4000000000000001,0.0,[]
de,"(42 %), double pigtail prostheses were subsequently placed to track papilla of Vater/biliodigestive anastomosis (""ring drainage""), which were removed with gastroscopy three months later after previous ultrasound- and lab parameter-based follow-up control.",,0.6533333333333333,0.2,[]
de,"In 8 of these 37 pats., gall stone extraction was achieved using EUS-ERCP rendezvous technique (not included in the study since there was no surgically altered anatomy of the upper GI tract).",,0.8800000000000001,0.8,[]
de,"(21 %), complications occurred in 6 individuals",,1.0,1.0,[]
de,All consecutive pats. with cholangiolithiasis and surgically altered anatomy of the upper GI tract with and without previous attempts of an ERCP were enrolled in this unicenter case study and were characterized with regard to the technical and clinical success of this approach.,,0.811111111111111,0.6666666666666666,[]
de,Re-interventions became necessary in 6/29 cases,,1.0,1.0,[]
de,(21 %).  EUS-guided stone extraction in antegrade or retrograde technique for pats. with surgically altered anatomy of the upper GI tract can be considered a favorable and safe but challenging approach of interventional endoscopy/EUS.,,0.8551136363636364,0.5,[]
de,In 13 of the remaining 29 subjects,,1.0,1.0,[]
de,EUS-guided access to the biliary system was achieved in all 29 pats.,,0.9166666666666666,0.75,[]
de,In 11/29 cases,,1.0,1.0,[]
de,"(7 %), gall stones were extracted via a retrograde route using a transhepatic access site; in one patient",,0.5227272727272727,0.25,[]
de,"(3 %), stones were removed by means of a combined ante-/retrograde technique.",,1.0,1.0,[]
de,In two subjects,,1.0,1.0,[]
de,"(7 %), cholangioscopy with electrohydraulic lithotripsy was used.",,1.0,1.0,[]
de,Technical as well as clinical success rate was 100 % (29 of 29 pats.).,,1.0,1.0,[]
de,"It can provide high technical and clinical success and low complication rates; it has the potential to substitute the time-consuming balloon-enteroscopy-guided ERCP as well as, in particular, PTCD and, thus, secundary and tertiary therapeutic alternatives.",,0.9509803921568628,0.8333333333333334,[]
de,A 66-year-old women with chronic hepatitis-b and antiviral therapy was presented with icterus and sickness 2 weeks after cold symptoms.,,0.39999999999999997,0.2857142857142857,[]
de,The treatment was stopped by patient 6 month before.,,1.0,1.0,[]
de,The chemical results showed elevated liver enzymes and bilirubin values.,,0.606060606060606,0.0,[]
de,"The hepatitis-b status revealed signs of chronical course (HBsAg positive), the virus amount was > 21 Mio IU/ml.",,1.0,1.0,[]
de,The sonographic abdominal status was normal.,,1.0,1.0,[]
de,The antiviral therapy was re-established and liver enzymes improved.,,0.8333333333333334,0.6666666666666666,[]
