lang,src,severity,overall_similarity,entity_scores
de,Three cases of cervicofacial NF are presented in this case report.,,0.660995547970136,[]
de,Two of the three patients died within 48 h from systemic illness with septic organ failure; one patient was discharged after intensive care treatment and reconstruction of the tissue defects caused by debridement.,,0.8011895616849264,[]
de,Rapid progression and systemic illness are typical for the disease and complicate diagnosis.,,1.00000003973643,[]
de,"After diagnosing NF based on clinical symptoms, laboratory parameters, and CT, the patients were treated with systemic antibiotics and multiple extensive debridements.",,0.9999999403953552,[]
de,"After diagnosing NF based on clinical symptoms, laboratory parameters, and CT, the patients were treated with systemic antibiotics and multiple extensive debridements.",,0.9999999403953552,[]
de,"Necrotizing fasciitis (NF) is a life-threatening, usually bacterial, soft tissue infection that rarely affects the head and neck region.",,0.6142435669898987,[]
de,Immediate surgical and antimicrobial therapy is required.,,1.0000001192092896,[]
de,"All patients showed a rapidly progressing, painful swelling and redness in the cervicofacial region.",,0.7491989731788635,[]
de,"NF is a fast-developing soft tissue infection associated with high mortality and morbidity, and is often recognized too late.",,0.8585420250892639,[]
de,"Diagnosis is based on clinical signs such as progressive diffuse swelling, pain, erythema, and early systemic illness.",,0.0,[]
de,Laboratory parameters (Laboratory Risk Indicator for Necrotizing Fasciitis [LRINEC] score) and imaging via CT or MRT are helpful.,,1.0000001192092896,[]
de,CT/MRT images can show soft tissue swelling with pathognomonic gas formation.,,0.8039066791534424,[]
de,Intravenously administered immunoglobulins and hyperbaric pressure therapy should only be used as supplementary treatments.,,0.8057862222194672,[]
de,This study aimed to analyse the relationship between increase in revenue and resource expenditure in reconstructive microsurgery at a university hospital of maximum care with regard to the treatment of interdisciplinary patients.,,1.0000000794728596,[]
de,"In 2018 and 2019, all cases of interdisciplinary cooperation were followed up at one location of a plastic surgery department of a university clinic.",,0.9276008407274882,[]
de,"The interdisciplinary surgical cases were identified from the collective and evaluated prospectively with regard to inpatient treatment days, surgical resource expenditure and economic development (DRG before and after microsurgical reconstruction).",,0.9999999403953552,[]
de,"In 2018 and 2019, a total of 68 free microsurgical flaps were performed in 64 interdisciplinary cases.",,1.0,[]
de,"Considering the contribution of plastic surgery to the economic development and the associated resource expenditure, there is a significant increase in all parameters (p < 0.0001).",,1.0,[]
de,"Thus, the Case Mix Index (CMI) rose by 20.2 %, inpatient treatment days by 79.1 %, the number of surgical interventions by 62.4 %, cumulative incision-suture time by 131.4 % and total surgeon hours by 75.4 %.  Reconstructive microsurgical procedures lead to a significant increase in revenue in interdisciplinary surgical cases.",,0.7479737668763846,[]
de,"Moreover, these additional costs are not always adequately reflected in the revenue of the DRG.",,0.0,[]
de,"However, a significant increase in resource consumption is observed as well.",,0.9945895671844482,[]
de,Advances in reconstructive microsurgery have led to significant improvements in the surgical care of complex interdisciplinary cases.,,1.0000000794728596,[]
de,"At the same time, however, this also increases the resource expenditure of the plastic surgeon involved.",,0.0,[]
de,62 of these cases met the criteria for interdisciplinary surgical treatment.,,1.0,[]
de,This especially applies to DRGs with a high initial cost weight.,,1.0000000596046448,[]
de,"To ensure modern, individual, patient-oriented and guideline-compliant patient care, there is, therefore, an urgent need to adapt the (G-)DRG system to the additional resource consumption.",,0.0,[]
de,"In addition, in the case of interdisciplinary surgical cases, a clear internal cost allocation must be carried out in accordance with the surgical resource expenditure.",,0.0,[]
de,"Staff outings of Emil Kraepelin's Royal Department of Psychiatry were known as ""catatonic walks"".",,0.9999999552965164,[]
de,"Many of Kraepelin's collaborators were inspired by his ideas and driven by scientific enthusiasm which contributed to significant scientific advances, but also took them to very different ends from dental and bowel surgery to psychoanalysis and eventually evidence-based medicine; from racial hygiene and nationalism to the presidency of communist Romania.",,0.6533293376366297,[]
de,"A remarkable number of important German and international visitors participated in 1906, Nicolas Achucarro, Henry Cotton, Eduard Flatau, Smith Ely Jelliffe, Gaetano Perusini, Edward Scripture, Maurycy Urstein and others.",,0.9717446168263754,[]
de,"Mostly, explosions of e-cigarettes are attributed to its lithium-ion battery.",,1.0000001192092896,[]
de,Due to increasing cases and missing guidelines we want to present three cases of our hospital and publish recommendations for the management of burn injuries caused by e-cigarette explosions.,,1.0,[]
de,"The age ranged from 24 to 64 years, the burned total body surface area (TBSA) from 3 % to 12.5 %. All three patients required skin grafting and the length of stay in hospital ranged from five to eleven days.",,0.9999999105930328,[]
de,"The guidelines of the Advanced Trauma Life Support should be followed, signs of an inhalation trauma should be checked and litmus test should be performed prior to irrigation with aqueous solutions to prevent exothermic reactions with remaining metals.",,0.6833750174070398,[]
de,The popularity of E-Cigarettes is increasing.,,1.000000238418579,[]
de,"Besides addiction and pulmonary health damage, reports of burn injuries from e-cigarette explosions are also increasing.",,0.7346777617931366,[]
de,"Three cases of e-cigarette explosions which occurred between 2016 and 2019, are presented.",,1.0000000794728596,[]
de,All three e-cigarette explosions occurred in the trouser pockets.,,0.5905300229787827,[]
de,Two patients were male one patient was female.,,0.9999999701976776,[]
de,"In the synopsis of recent literature, we recommend the following management of burns due to e-cigarette explosions.",,1.0000001192092896,[]
de,If litmus test shows alkali pH wounds should be irrigated by mineral oil.,,0.7051589339971542,[]
de,The recommendations of the guideline are intended to serve as a supportive information and decision basis for the clinician in the treatment of adult patients with sepsis or septic shock.,,1.0,[]
de,The German Sepsis guideline is an interdisciplinary guideline (S3 classification).,,1.0000001192092896,[]
de,"It is an evidence- and consensus-based instrument for the improvement and quality assurance of prevention, diagnosis, therapy and aftercare of sepsis.",,0.0,[]
de,"It summarizes appropriate, scientifically based and up-to-date procedures for diagnosis, therapy and follow-up.",,0.17714741826057434,[]
de,"To investigate feasibility and outcome the novel and favorable option of an endoscopic ultrasonography(EUS)-guided antegrade or even retrograde gall stone extraction via a transhepatic route in patients (pats.) with no option for the usual gold standard, ERCP.",,0.6793706864118576,[]
de,"From 2004 to 03/2020, overall 449 pats. underwent EUS-guided cholangiodrainage (n = 37 pats. with cholangiolithiasis).",,0.8964787483215332,[]
de,"In 8 of these 37 pats., gall stone extraction was achieved using EUS-ERCP rendezvous technique (not included in the study since there was no surgically altered anatomy of the upper GI tract).",,0.9822749018669128,[]
de,"(45 %), there was a failure of previous attempts to reach the papilla of Vater or biliodigestive anastomosis using balloon-enteroscopy-guided ERCP.",,0.9474162012338638,[]
de,Stone extraction was performed in 26 individuals,,0.8862849275271097,[]
de,"(90 %) by means of antegrade push-technique after balloon dilatation of the papilla of Vater and biliodigestive anastomosis, respectively, before.",,0.6901383201281229,[]
de,"(42 %), double pigtail prostheses were subsequently placed to track papilla of Vater/biliodigestive anastomosis (""ring drainage""), which were removed with gastroscopy three months later after previous ultrasound- and lab parameter-based follow-up control.",,0.8936729431152344,[]
